15;1;508;2
40;1;267;1
2;1;4246;2
29;1;132;2
21;1;3225;2
32;2;6588;1
18;2;2339;1
25;2;9719;1
56;2;7598;1
16;2;209;1
55;2;11053;2
40;2;177;1
15;2;24290;2
10;2;20568;2
54;3;6253;1
16;3;3038;1
22;3;22797;2
3;3;25228;2
17;3;8346;1
57;4;5397;1
38;3;19690;2
19;4;6138;2
26;4;3907;2
49;4;1902;2
13;4;703;2
25;4;2443;1
36;3;20498;1
41;3;16206;3
36;4;8005;1
24;4;1042;2
32;4;962;2
40;4;1674;1
16;4;16;1
56;4;384;2
51;4;851;2
27;4;485;2
41;4;3457;3
46;4;468;2
48;4;3487;2
44;4;3360;2
20;4;3737;1
38;4;1300;2
34;4;387;2
46;5;1253;2
19;5;1142;2
25;5;53;1
32;5;356;1
49;5;242;2
37;4;7683;1
18;4;18568;6
23;4;11722;2
33;5;6491;3
22;5;2695;3
18;5;5336;3
13;5;5970;2
40;5;1056;1
26;5;6975;2
11;5;6216;2
56;5;6412;2
9;5;10487;3
20;5;94;1
24;5;4639;2
17;5;8721;3
28;5;6586;4
3;5;1890;2
57;5;224;1
38;5;4245;2
52;5;7101;2
39;5;6557;2
14;5;1953;3
12;5;2311;2
53;5;7037;5
2;5;1651;5
4;5;1773;3
41;5;2940;3
10;6;2127;3
9;6;2384;3
31;6;3313;2
23;5;7177;2
24;6;280;2
13;6;1806;2
57;6;1044;1
21;6;3329;3
34;6;3071;3
15;6;2454;3
54;6;435;2
16;6;3905;1
4;6;556;3
14;6;3494;3
17;6;3393;3
46;6;4257;2
18;6;1184;1
43;6;4417;2
40;6;1975;1
6;6;8278;5
41;6;7980;3
29;6;4709;3
5;6;1090;3
44;6;1287;2
55;6;1103;3
37;6;6409;1
30;6;12419;2
49;6;10709;2
38;6;4584;2
28;6;5266;4
22;6;4625;5
26;7;1159;2
51;6;5847;2
8;6;7398;2
56;6;7150;2
23;7;4901;2
16;7;898;1
47;7;3654;1
49;7;352;2
48;6;11095;2
14;7;8348;3
33;7;9646;5
57;7;821;1
38;7;635;2
54;7;242;2
24;7;4724;2
27;7;7490;2
39;7;3490;2
46;7;246;2
20;7;175;1
37;7;97;1
4;7;1238;3
43;7;3123;2
53;7;6488;5
18;7;462;1
40;7;3817;1
32;7;3695;1
19;7;7002;2
3;7;7571;2
28;7;7321;4
52;8;563;1
10;7;9355;3
8;7;3579;2
29;7;2420;3
19;8;6069;3
39;8;5098;2
44;8;4936;2
18;8;414;1
31;8;5032;2
8;8;691;2
30;7;12823;2
25;8;6610;2
33;8;8083;5
48;8;11304;1
56;8;9514;1
37;8;6104;1
47;8;666;1
4;8;8065;2
29;8;9437;3
55;8;6596;3
43;8;2175;2
22;8;6139;5
16;8;157;1
3;8;18883;2
38;8;15963;2
30;8;9911;2
46;8;784;2
17;8;3209;3
36;8;4358;1
50;8;4375;3
15;8;3404;3
7;9;3067;2
44;9;1479;2
40;9;311;1
25;9;423;2
2;9;766;5
46;9;426;2
6;9;707;5
38;9;417;2
35;9;475;3
43;9;594;3
37;9;532;1
31;9;343;1
48;9;551;1
18;9;92;1
56;9;7042;1
20;9;9973;1
13;9;7875;2
30;9;367;2
10;9;12097;3
36;9;11748;1
14;9;5395;3
15;9;639;3
26;9;516;2
27;9;125;1
47;9;54;1
53;9;757;5
52;9;7335;1
11;9;952;1
50;9;2071;5
34;9;1913;3
19;9;2113;3
4;9;1091;2
12;9;982;2
57;9;1354;1
23;9;7630;1
16;10;3950;1
23;10;2491;1
31;10;47;1
17;9;9932;3
51;9;9272;2
17;10;3563;3
5;10;2084;3
8;10;626;2
20;10;7680;1
43;10;7720;3
57;10;3121;1
9;10;11903;3
27;10;1192;1
13;10;9652;2
26;10;8388;2
54;10;1370;2
52;10;50;1
11;10;298;1
40;10;4009;1
41;10;14591;3
53;10;15305;5
4;10;11818;2
46;10;2317;2
49;10;3102;2
13;11;880;2
37;10;4377;1
18;10;6602;1
47;11;2498;1
27;11;508;1
57;11;18;1
51;11;6687;2
14;11;5166;3
52;11;16;1
25;11;361;2
39;11;430;2
8;11;332;2
48;11;61;1
34;11;416;3
30;11;479;2
5;11;441;3
46;11;452;2
56;11;1633;2
50;11;1688;3
41;11;518;3
54;11;2446;2
20;11;1125;1
3;11;451;2
31;11;66;1
10;11;3635;3
37;11;231;1
18;11;72;1
17;11;2627;3
28;11;1776;4
19;11;2753;3
36;11;982;1
43;11;3785;3
11;11;250;1
49;11;1422;2
38;11;3776;2
23;11;1137;3
16;11;4709;1
26;11;1193;2
32;11;5743;1
40;11;4721;1
22;11;9364;5
2;11;9077;5
12;11;4606;2
24;12;3296;2
32;12;42;1
48;12;2455;1
18;12;59;1
20;12;1223;1
4;12;1466;2
47;12;965;1
55;12;12963;3
9;12;13274;3
57;12;1354;1
37;12;1494;1
39;12;9481;2
44;12;5893;2
28;12;6431;4
15;12;714;3
33;12;872;5
36;12;795;1
5;12;456;3
46;12;12301;2
3;12;10851;2
50;12;460;3
27;12;411;1
12;12;346;2
26;13;308;2
24;13;1386;2
55;13;1756;3
51;13;451;2
9;13;591;3
38;13;3761;2
49;13;2544;2
3;13;2125;2
53;13;824;5
17;13;428;3
10;13;380;3
12;13;480;2
47;13;235;1
15;13;1643;3
13;13;1195;2
46;13;3306;2
23;13;3550;3
18;13;554;1
57;13;9980;1
56;13;13959;2
5;13;12416;3
50;13;11813;3
28;13;2426;4
41;13;5428;3
43;13;7906;3
20;13;7368;1
33;13;4599;5
39;13;4315;2
29;13;4376;3
19;13;1565;3
25;13;879;2
6;13;3154;5
39;14;492;2
7;14;275;2
16;14;2469;2
18;14;371;1
43;14;2198;3
41;14;6484;5
21;14;6094;3
56;14;3624;2
55;14;4896;3
47;14;873;1
50;14;4529;3
11;14;3484;1
28;14;5822;4
29;14;534;3
51;14;574;2
4;14;8448;2
10;14;370;3
26;14;1502;2
37;14;598;1
2;14;4020;5
53;14;4607;5
30;14;5030;3
25;14;2750;2
19;14;2034;3
14;14;832;3
48;14;123;1
33;14;798;5
49;14;7486;2
23;14;10140;3
46;14;3960;2
52;14;1718;1
32;14;184;1
22;14;2510;5
5;14;700;3
40;14;595;2
35;14;863;3
9;14;931;3
15;14;674;3
20;14;4460;1
17;14;4103;3
54;15;394;2
20;15;27;1
4;15;4136;2
48;15;3662;1
13;15;1431;2
57;15;6244;1
46;15;453;2
7;15;10719;2
12;15;8084;2
6;15;5009;5
50;15;881;3
34;15;1055;3
39;15;648;2
27;15;1639;1
3;15;748;2
29;15;4138;3
38;15;242;2
21;15;4828;3
16;15;1800;2
47;15;820;1
8;15;773;1
26;15;2651;2
24;15;3039;2
17;15;2763;3
19;15;3061;3
49;15;273;2
43;15;695;3
37;15;33;1
55;15;898;3
10;15;2567;3
23;15;500;3
30;15;2971;3
28;15;692;4
52;16;583;1
37;16;484;1
3;16;5537;2
26;16;5714;2
38;16;312;2
16;16;6303;2
22;16;4641;5
36;16;713;1
56;16;2382;2
53;16;3378;5
7;16;698;2
57;16;1348;1
11;16;855;1
43;16;5566;3
13;16;5546;2
49;16;3355;2
9;16;6444;3
15;16;5037;3
5;16;2788;3
47;16;1950;1
46;16;3381;2
54;16;2695;2
12;16;7111;2
40;16;5643;2
39;16;6188;2
30;16;949;4
8;16;3221;1
25;16;4385;2
28;16;4391;4
17;16;4001;3
50;16;1071;3
34;16;399;3
56;17;384;2
10;17;459;3
25;17;3126;2
57;17;403;1
14;17;4652;3
47;17;4774;1
53;17;6953;5
41;17;6726;5
36;17;747;1
51;17;1341;2
19;17;1391;3
48;17;4516;1
13;17;10151;2
29;17;3702;3
34;17;4093;3
54;17;11779;2
30;17;7301;4
26;17;3561;2
27;17;4165;1
6;17;7684;5
49;17;3460;2
43;17;3691;3
20;17;1106;1
37;17;5627;1
7;17;10955;2
44;17;11944;2
31;17;1812;2
35;17;3155;3
24;17;594;2
4;17;1020;4
2;17;9033;5
55;17;5226;3
5;17;2838;3
18;17;8760;1
3;17;5305;2
46;18;680;2
18;18;619;1
32;17;5997;1
7;18;5962;2
39;17;7612;2
35;18;5938;3
13;18;637;2
31;18;1671;2
24;18;1564;2
37;18;134;1
38;18;315;2
5;18;1662;3
8;18;4326;1
43;18;4526;3
4;18;1778;4
49;18;814;2
26;18;382;2
20;18;1028;1
3;18;1237;2
52;18;372;1
28;18;260;2
40;18;6958;2
16;18;8763;2
56;18;3254;2
48;18;9912;1
22;18;2018;3
11;18;5490;1
30;18;5927;4
23;18;4772;3
54;18;4422;2
47;18;196;1
14;18;507;3
50;18;510;3
21;18;527;3
21;19;1547;3
56;19;1761;2
50;19;909;3
11;19;2973;1
52;19;328;1
43;19;2029;3
2;19;3306;3
33;19;1103;3
39;19;1138;1
32;19;798;1
30;19;7983;4
26;19;3982;2
13;19;966;2
47;19;7054;1
22;19;5696;3
28;19;3764;2
53;19;2917;3
4;19;6244;4
6;19;1886;3
48;19;967;1
51;19;10486;2
24;19;8593;2
29;19;7467;3
49;19;4422;2
20;19;4844;1
18;19;4516;4
57;19;7578;1
44;19;2065;2
27;19;4482;3
9;19;4190;3
8;19;1434;1
46;19;3865;2
38;19;4905;2
54;19;402;2
12;19;7472;2
35;19;7244;3
34;19;4665;3
5;19;519;3
15;19;407;3
3;19;293;2
26;20;1313;2
47;20;77;1
53;20;452;3
21;20;1468;3
11;20;3605;1
17;20;566;3
38;20;293;2
20;20;227;1
39;20;600;1
52;20;370;1
49;20;3534;2
23;20;977;3
43;20;549;3
30;20;2078;4
48;20;3328;1
57;20;719;1
2;20;7944;3
28;20;7238;2
10;20;1217;3
16;20;522;1
22;20;3292;3
6;20;4888;3
41;20;627;3
34;20;11757;3
33;20;1665;3
24;20;13805;2
15;20;8919;3
19;20;3420;3
18;20;10866;4
4;20;8869;4
3;20;2539;2
46;20;778;2
8;20;5221;1
35;20;402;3
51;20;347;2
14;20;441;3
56;20;273;2
54;20;421;2
14;21;1384;3
47;21;1743;1
22;21;2375;3
2;21;2373;3
28;21;1096;2
27;21;2899;3
51;21;486;2
39;21;145;1
50;21;482;3
40;21;416;2
12;21;385;2
5;21;528;3
11;21;199;1
6;21;2593;3
23;21;648;3
10;21;777;3
34;21;483;3
21;21;574;3
48;21;121;1
53;21;578;3
44;21;416;2
26;21;257;2
52;21;160;1
55;21;1880;3
56;21;319;2
54;21;449;2
9;21;1452;3
37;21;1749;1
33;21;2311;3
57;21;628;1
46;21;7004;2
20;21;7895;1
41;21;6701;3
31;21;12646;2
16;21;1468;1
8;21;676;1
43;21;2587;3
30;21;827;4
17;21;15597;3
19;21;11476;3
7;21;1619;2
52;22;981;1
22;22;2507;3
3;22;724;2
11;22;3700;1
15;22;4427;3
5;22;3996;3
47;22;1788;1
14;22;6404;3
26;22;1033;2
36;22;3234;1
54;22;1579;2
16;22;149;1
8;22;2188;1
46;22;8945;2
27;22;9726;3
4;22;8344;4
39;22;215;1
6;22;5846;3
28;22;5215;2
25;22;766;1
32;22;597;1
20;22;3658;1
41;22;9948;3
10;22;5475;3
37;22;804;1
2;22;2040;3
48;22;6202;1
43;22;5055;3
23;22;5803;3
17;22;15777;3
44;22;13010;2
31;22;13134;2
12;22;5273;2
31;23;2863;2
52;23;1727;1
37;23;4007;1
33;22;7976;3
13;22;6926;2
9;23;2642;3
30;22;9550;4
22;23;665;3
7;23;2699;2
5;23;2150;3
55;23;1270;3
34;23;1333;3
24;23;5063;2
49;23;6796;2
35;23;4826;4
53;23;8075;3
33;23;4358;3
47;23;486;1
11;23;3669;1
3;23;4686;2
2;23;3088;3
32;23;21;1
8;23;3297;1
23;23;8712;3
27;23;7767;3
20;23;2221;1
54;23;970;2
12;23;14836;2
21;23;12170;3
30;23;7115;3
15;23;1832;3
28;24;623;4
26;24;444;2
39;24;203;1
34;24;400;3
47;24;260;1
48;24;129;1
3;24;274;2
27;24;3998;3
19;24;4326;3
29;24;846;3
30;24;709;2
25;24;2409;1
20;24;2528;1
11;24;228;1
12;24;3208;2
5;24;1265;3
14;24;1297;3
7;24;754;2
52;24;114;1
4;24;278;2
40;24;8098;2
38;24;7835;5
37;24;1323;1
50;24;7570;3
51;24;7679;2
41;24;3162;5
46;24;11779;2
23;24;10023;3
26;25;3303;2
25;25;53;1
2;24;11086;5
6;24;9710;5
9;24;11571;5
24;25;273;2
49;25;481;2
9;25;762;5
37;25;25;1
28;25;505;4
53;25;1764;5
47;25;1298;1
32;25;1750;1
29;25;958;3
16;25;2153;2
39;25;213;1
11;25;58;1
18;25;514;3
22;25;826;5
54;25;4308;2
40;25;675;2
38;25;595;3
5;25;1911;3
14;25;1738;5
46;25;4016;2
20;25;3680;1
23;25;3283;3
4;25;3058;2
8;25;2264;1
10;25;5978;5
51;25;1670;1
57;25;5046;1
41;25;7887;5
15;25;6079;3
56;26;2385;2
2;25;4392;5
34;25;3723;3
23;26;3491;3
38;26;3803;3
4;26;3714;2
36;26;5966;1
40;26;1762;2
57;26;843;1
20;26;9145;1
3;26;8019;2
49;26;4546;2
7;26;4608;2
19;26;2057;3
48;26;2347;1
13;26;966;2
2;26;5378;5
47;26;1047;1
43;26;6103;2
44;26;7106;2
18;26;7886;3
8;26;2861;1
54;26;8612;2
48;27;565;1
46;26;7191;2
49;27;4336;2
34;26;14478;3
12;26;9041;2
11;26;6972;1
25;27;962;1
3;27;3658;2
30;27;609;2
52;27;4590;1
5;26;14604;3
2;27;12233;5
8;27;579;1
23;27;890;3
37;27;3800;1
46;27;2408;2
34;27;3766;2
20;27;28;1
26;27;1303;2
57;27;1717;1
51;27;4761;1
27;27;6576;1
43;27;13791;2
28;27;13332;4
7;27;7310;2
39;27;3264;1
51;28;1404;1
4;28;6677;2
56;28;5196;2
43;28;3597;2
26;28;5080;2
52;28;1463;1
12;28;5011;2
27;28;1910;1
25;28;2238;1
11;28;10039;1
57;28;605;1
37;28;5992;1
23;28;10362;3
54;28;8869;2
13;28;10390;2
19;28;1213;2
55;28;13353;3
16;28;9123;2
36;28;2960;1
17;28;778;3
2;28;1261;5
21;28;677;3
49;28;295;2
8;28;7556;1
20;28;68;1
40;28;459;2
50;28;573;3
8;29;277;1
10;28;2382;5
14;28;2764;5
13;29;2610;2
25;29;2519;1
52;29;1690;1
19;29;1369;2
