3;3;450
2;3;19
2;4;19
3;4;19
3;5;18
2;5;19
2;6;19
3;6;153
3;7;280
7;6;925
6;7;159
5;7;319
7;7;228
4;7;1253
2;7;998
2;8;19
5;8;1762
3;8;781
6;8;1075
7;8;1395
6;9;2341
4;8;5174
3;9;2110
2;9;2264
6;9;3919
5;9;3986
10;9;3355
7;9;4240
4;9;4988
3;11;686
2;10;2163
5;10;3460
7;10;2809
5;12;615
7;11;2333
3;12;596
4;12;1634
2;12;19
7;12;558
3;13;19
7;13;87
9;9;6886
8;10;5433
2;13;559
8;11;3543
5;13;1152
3;14;19
4;13;2535
8;12;4662
5;14;586
7;14;71
2;14;530
9;10;8984
6;10;9454
7;15;115
3;15;18
5;15;1086
6;11;9951
7;16;389
2;15;763
10;10;11929
3;16;18
2;16;19
3;17;19
5;16;1620
7;17;136
2;17;1061
5;17;1156
6;15;5196
5;18;974
11;15;6153
4;14;8353
2;18;19
3;18;702
7;18;2802
3;19;764
9;12;15855
3;20;1078
2;19;2686
7;19;3286
9;13;14995
5;19;4092
6;17;8513
2;20;2266
6;18;6618
7;20;2644
8;18;6551
7;21;1725
7;22;786
11;16;12731
4;20;5690
2;21;2264
3;22;1198
9;21;3478
10;20;5197
8;21;2579
2;22;22
4;23;163
8;22;1148
10;21;4512
5;23;215
6;22;3310
2;23;19
8;23;1053
3;23;2124
10;22;4800
7;23;2303
2;24;499
10;23;4792
5;24;1446
3;24;1937
4;24;2463
2;25;19
10;24;3432
8;24;3208
5;25;2152
7;24;3208
3;25;2357
3;26;19
7;25;2320
2;26;438
7;26;977
5;26;2519
4;25;3917
8;25;4391
10;25;4808
5;27;569
3;27;373
7;27;449
3;28;19
2;27;1233
9;23;8510
7;28;179
9;25;5296
2;28;20
4;27;2883
11;20;15964
5;29;167
8;27;3569
4;28;2442
8;28;2435
3;29;1061
2;29;19
4;29;1335
7;29;1440
11;21;16568
6;25;6598
9;28;2905
5;30;540
8;29;2502
9;29;1580
7;30;212
3;30;19
4;30;318
2;30;19
4;31;58
6;28;4247
5;31;200
2;31;19
3;31;484
8;30;2884
7;31;1199
3;32;748
2;32;937
11;27;9790
7;32;1701
5;32;1616
8;31;2896
10;28;9163
10;29;7149
5;33;476
3;33;936
2;33;701
7;33;1851
4;32;2849
10;31;5573
6;31;3539
3;34;648
6;32;1865
2;34;373
7;34;1761
5;34;2009
7;35;511
2;35;19
10;32;7277
3;35;597
6;33;3592
5;35;1074
10;33;5404
10;35;1339
3;36;490
6;35;593
7;36;228
2;36;19
8;32;8632
3;37;19
9;31;10891
10;36;2997
5;36;3088
7;37;154
11;35;4135
2;37;952
7;38;136
11;36;4684
5;37;2710
3;38;19
8;34;7659
6;36;2980
2;38;1752
4;37;3378
5;38;1866
8;35;7825
2;39;951
3;39;843
6;37;3249
4;39;1747
7;39;1179
5;39;1913
3;40;19
2;40;19
10;38;3533
11;38;3811
5;40;1601
8;37;7232
3;41;717
7;40;1239
6;38;3348
7;41;195
4;40;2067
10;40;3112
8;38;7066
5;41;2065
9;37;9362
11;40;2073
5;42;695
6;40;2154
2;41;816
8;39;4636
2;42;639
11;41;1869
3;42;19
9;38;8510
6;41;1468
11;42;1361
3;43;408
6;42;706
4;41;3549
7;42;1103
9;40;6428
7;43;852
4;42;2909
5;43;498
3;44;19
5;44;430
2;43;576
9;41;5768
11;43;2885
9;42;4828
2;44;18
6;43;1272
8;41;7830
7;44;1057
