3:22.978;ID:3;3;1642659840; 1054015488; 3217620992; 1064370224; 290455553;22;0;29860;0
3:23.049;ID:7;7;2097217536; 3336437760; 1672151040; 2608005168; 290455553;22;0;28914;1
3:23.169;ID:5;5;1842085888; 2869690368; 2416574464; 1863188528; 290455553;22;0;15764;1
3:23.197;ID:6;6;2856976384; 4042588160; 3119382528; 1160314927; 290455554;24;0;48924;1
3:23.386;ID:8;8;2130640896; 2399338496; 3185836032; 1093730352; 290455553;24;0;2460;1
3:23.442;ID:2;2;1709309952; 1067319296; 3057516544; 1223950384; 290455553;22;0;30236;0
3:23.562;ID:9;9;1812529152; 2587361280; 2930507776; 1348730928; 290455553;22;0;7784;1
3:23.597;ID:4;4;3096051712; 107806720; 2957901825; 1324941359; 290455554;24;0;59266;1
3:23.726;ID:10;10;3048079360; 4151443456; 309657600; 3968008240; 290455553;24;0;52059;1
3:23.749;ID:11;11;2705063936; 77201408; 4253548545; 24313903; 290455554;22;0;58285;1
