3;3;19
2;3;19
3;4;18
2;4;19
3;5;19
3;6;19
2;5;19
2;6;19
7;6;464
6;7;686
2;7;280
3;7;921
7;7;968
4;7;1461
5;7;1672
3;8;469
6;8;824
7;8;562
2;8;374
6;9;284
4;8;1806
3;9;19
4;9;445
2;9;408
5;8;2136
7;9;434
5;9;1221
8;9;289
6;10;143
4;10;232
7;10;91
5;10;215
2;10;263
3;10;1171
2;11;19
3;11;592
5;11;200
6;11;464
7;11;2056
5;12;1028
2;12;20
11;11;2844
3;12;1859
7;12;1861
6;12;2427
11;12;2706
5;13;59
11;13;970
3;13;904
2;13;19
3;14;312
7;13;1898
6;13;2249
2;14;435
5;14;1168
11;14;2500
5;15;75
3;15;19
2;15;19
6;14;2673
2;16;19
6;15;2500
5;16;123
7;14;3885
4;11;10840
8;10;11758
9;10;12942
9;11;11270
3;16;1810
4;16;2017
7;15;4900
3;17;18
2;17;779
6;16;4266
3;18;19
5;17;1415
7;17;1959
2;18;560
5;18;1075
7;18;292
3;19;19
5;19;75
6;17;3129
4;17;4825
2;19;19
7;19;429
8;16;4898
10;17;3683
11;16;6572
6;19;2003
9;17;5518
9;18;4682
7;20;694
3;20;827
6;20;1176
3;21;19
8;19;2501
2;20;1662
5;20;1337
9;19;4101
7;21;1107
4;21;774
5;21;1642
9;20;3907
2;21;373
3;22;19
7;22;135
2;22;1044
5;22;2308
2;23;19
6;21;4842
10;19;8100
3;23;531
11;19;8344
7;23;397
5;23;1077
2;24;20
5;24;231
6;23;1874
11;23;1902
3;24;189
6;24;63
11;24;1553
4;22;6278
7;24;168
10;23;1219
2;25;497
3;25;358
5;25;1921
6;25;1779
7;25;1584
11;25;2704
4;23;6501
7;26;538
9;21;10314
2;26;19
8;21;10614
11;26;2487
3;26;734
6;26;818
5;26;2795
3;27;796
7;27;981
5;27;953
6;27;1052
2;27;19
11;27;2413
3;28;19
4;26;3572
9;23;10089
5;28;1088
10;24;7327
4;27;2055
7;28;511
2;28;19
6;28;657
4;28;1106
7;29;43
3;29;19
5;29;758
9;25;8615
2;29;404
6;29;2044
7;30;834
2;30;19
3;30;1063
10;25;9051
3;31;19
6;30;1993
7;31;59
6;31;1284
11;28;7317
3;32;19
11;29;5708
9;26;12393
8;23;17479
4;29;6399
7;32;107
2;32;403
8;30;4037
4;31;3017
2;33;734
8;31;4456
3;33;1718
6;32;2809
4;32;4883
8;32;4188
7;33;2008
5;31;6125
11;30;8643
7;34;1648
10;27;15357
2;34;1656
11;31;8611
3;34;2258
3;35;1653
5;32;7477
2;35;1841
3;36;357
5;33;6196
2;36;19
6;34;4171
5;34;5086
6;35;3168
11;34;5415
7;36;698
2;37;19
6;36;3048
3;37;19
7;37;232
8;33;9426
4;34;9402
11;36;5583
3;38;828
2;38;983
5;35;7805
10;29;17919
6;37;4412
5;36;6976
7;38;1461
2;39;404
10;32;13919
3;39;1320
11;38;3643
7;39;1001
10;38;2641
2;40;499
7;40;231
6;39;2432
3;41;19
7;41;43
3;42;19
5;37;10175
9;31;22018
11;40;5163
2;41;1876
9;36;12907
5;39;6930
6;40;5370
5;40;6274
4;38;9297
7;42;772
10;39;5427
