9;1939275776; 3335847937; 2786721793; 1495662638; 290455555;98;0;19834;3
7;4207017984; 2678521856; 3874095105; 408354862; 290455555;98;0;1304;3
5;1490157568; 1321861121; 3424321538; 858587181; 290455556;98;0;19002;4
2;4021092352; 1852768256; 2353463296; 1923088431; 290455554;98;0;52588;0
3;3983081472; 1819148288; 2258698240; 2015232047; 290455554;98;0;51570;0
10;2330066944; 1971126273; 2385772546; 1895104557; 290455556;98;0;37408;4
6;4169924608; 3465150465; 1571487746; 2709389356; 290455557;98;0;14326;5
8;2068774912; 3367698433; 2803433473; 1590034478; 290455555;98;0;20656;3
11;1963917312; 862715905; 4124508162; 156500013; 290455556;98;0;5870;4
4;3582525440; 2104623106; 3782148100; 780992553; 2983723016;98;0;23060;8
