2;22;14;1
2;23;181;1
2;24;173;1
2;25;35;1
2;26;199;1
2;27;246;1
2;28;166;1
2;29;197;1
2;30;135;1
2;31;41;1
2;32;219;1
2;33;255;1
2;34;182;1
2;35;94;1
2;36;113;1
2;37;48;1
2;38;225;1
2;39;45;1
2;40;158;1
2;41;62;1
2;42;127;1
2;43;32;1
2;44;75;1
2;45;41;1
2;46;20;1
2;47;185;1
2;48;156;1
2;49;145;1
4;51;458;2
2;50;315;1
2;51;37;1
4;52;390;2
4;53;312;2
2;52;170;1
2;53;308;1
4;54;340;2
2;54;258;1
4;55;399;2
2;55;412;1
4;56;459;2
2;56;238;1
4;57;375;2
2;57;389;1
4;58;407;2
4;59;323;2
2;58;125;1
2;59;243;1
9;59;504;3
2;60;421;1
4;60;941;2
9;60;973;3
4;61;905;2
4;62;339;2
2;61;455;1
9;61;651;3
4;63;261;2
2;62;80;1
9;62;554;3
2;63;462;1
4;64;450;2
9;63;651;3
2;64;429;1
4;65;348;2
9;64;715;3
2;65;446;1
4;66;458;2
2;66;241;1
9;65;822;3
4;67;591;2
9;66;740;3
2;67;39;1
9;67;577;3
4;68;273;2
2;68;341;1
9;68;628;3
4;69;614;2
2;69;416;1
9;69;596;3
4;70;356;2
2;70;29;1
4;71;289;2
2;71;242;1
4;72;724;2
9;70;1223;3
9;71;931;3
9;72;621;3
2;72;457;1
4;73;495;2
2;73;430;1
4;74;419;2
2;74;58;1
9;73;673;3
9;74;546;3
4;75;638;2
9;75;593;3
2;75;251;1
2;76;31;1
4;76;448;2
2;77;77;1
9;76;708;3
4;77;678;2
8;77;759;3
9;77;927;3
2;78;414;1
4;78;988;2
8;78;991;3
4;79;796;2
2;79;517;1
9;78;739;3
8;79;614;3
2;80;31;1
2;81;200;1
5;80;2438;2
2;82;123;1
5;81;2088;2
5;82;1754;2
5;83;667;2
2;83;55;1
2;84;237;1
5;84;851;2
5;85;521;2
2;85;165;1
9;79;6264;3
4;80;6272;2
2;86;131;1
2;87;263;1
5;86;1477;2
5;87;1631;2
5;88;347;2
4;81;7602;2
2;88;245;1
2;89;32;1
5;89;1409;2
5;90;654;2
2;90;301;1
5;91;730;2
2;91;228;1
5;92;663;2
2;92;200;1
5;93;306;2
4;86;7528;2
4;87;7290;2
2;93;327;1
2;94;293;1
2;95;160;1
4;89;6880;2
4;94;2265;2
8;93;3562;3
8;95;1380;3
4;96;676;2
2;96;409;1
8;96;1380;3
2;97;36;1
4;97;690;2
4;98;466;2
8;97;815;3
2;98;205;1
9;85;13613;3
4;99;418;2
5;94;5471;2
2;99;280;1
5;95;5050;2
2;100;403;1
2;101;112;1
2;102;159;1
8;98;4544;3
4;100;3404;2
8;99;4326;3
9;101;1758;3
2;103;472;1
4;103;1005;2
2;104;410;1
8;102;2211;3
4;104;1071;2
4;105;911;2
8;103;2032;3
8;104;1772;3
8;105;957;3
2;105;410;1
4;106;930;2
5;99;7537;2
5;101;6066;2
2;106;298;1
2;107;452;1
8;106;2410;3
2;108;277;1
4;107;2133;2
8;107;2262;3
4;109;847;2
8;108;1498;3
2;109;210;1
4;110;449;2
8;109;772;3
2;110;437;1
8;110;1196;3
4;111;462;2
9;103;8002;3
2;111;442;1
9;104;7169;3
5;105;6726;2
5;107;5533;2
2;112;153;1
2;113;291;1
4;112;1793;2
9;108;5469;3
2;114;431;1
4;113;2351;2
4;114;1411;2
2;115;673;1
4;115;843;2
8;112;3706;3
4;116;752;2
8;113;3998;3
8;114;2862;3
2;116;292;1
8;115;1865;3
4;117;809;2
8;116;1445;3
2;117;555;1
8;117;1198;3
4;118;940;2
9;112;6613;3
4;119;447;2
5;112;7562;2
2;119;252;1
5;113;7410;2
5;118;2462;2
2;120;261;1
4;120;1310;2
2;121;308;1
4;121;1273;2
8;118;4444;3
8;120;2629;3
2;122;395;1
4;122;1745;2
9;114;9345;3
2;123;667;1
2;124;228;1
8;123;1801;3
4;124;725;2
9;118;6183;3
4;125;998;2
2;125;42;1
4;126;590;2
2;126;346;1
9;123;3127;3
9;124;2249;3
9;125;2052;3
4;127;686;2
2;127;402;1
9;126;1973;3
2;128;23;1
4;128;1199;2
8;124;4507;3
2;129;30;1
8;125;4214;3
4;129;1017;2
5;121;8796;2
2;130;81;1
5;122;9103;2
5;127;4541;2
5;131;1516;2
2;131;406;1
5;132;826;2
4;130;2916;2
8;126;6771;3
4;131;2457;2
2;132;589;1
8;132;1771;3
2;134;57;1
5;133;1524;2
5;134;1166;2
2;135;241;1
5;135;867;2
5;136;279;2
2;136;394;1
5;137;552;2
2;137;100;1
8;133;5608;3
2;138;22;1
4;133;6596;2
2;139;53;1
4;134;6443;2
9;137;2561;3
2;140;239;1
9;139;1889;3
8;140;1608;3
4;141;999;2
2;141;668;1
2;142;2007;1
4;142;2449;2
8;141;3741;3
9;140;3916;3
9;141;3749;3
9;142;2872;3
9;143;1534;3
8;144;1571;3
2;145;283;1
4;145;1413;2
4;146;785;2
8;145;2163;3
8;146;1162;3
2;146;708;1
4;147;852;2
9;144;3103;3
2;147;529;1
5;139;9143;2
2;148;375;1
4;148;1345;2
2;149;274;1
9;145;4172;3
9;146;3205;3
9;147;2754;3
8;147;3641;3
2;150;265;1
8;148;3097;3
8;149;2719;3
2;151;563;1
9;150;1648;3
8;150;1681;3
8;151;1287;3
2;152;576;1
4;152;1416;2
9;151;1442;3
8;152;1464;3
4;153;1331;2
2;153;649;1
