3;1;18
2;1;18
4;1;94
7;1;661
5;1;103
3;2;19
2;2;19
4;2;240
10;2;770
11;2;996
8;2;2291
9;2;2619
5;2;3453
7;2;135
6;2;235
10;3;240
2;3;19
4;3;111
11;3;293
3;3;19
7;3;87
6;3;191
8;3;1124
9;3;1196
5;3;490
11;4;75
6;4;207
4;4;272
7;4;119
8;4;152
9;4;227
2;4;325
10;4;148
5;4;180
3;4;19
11;5;107
5;5;216
2;5;19
3;5;19
9;5;243
8;5;215
10;5;303
7;5;151
6;5;111
4;5;130
5;6;199
2;6;19
11;6;136
6;6;283
4;6;95
8;6;323
3;6;18
9;6;291
10;6;208
7;6;260
10;7;130
11;7;244
2;7;19
6;7;269
4;7;85
8;7;248
7;7;184
3;7;19
9;7;151
5;7;244
3;8;19
11;8;151
9;8;307
10;8;164
5;8;275
6;8;175
4;8;243
7;8;212
8;8;280
2;8;18
10;9;273
11;9;199
2;9;19
8;9;307
7;9;244
5;9;59
6;9;84
4;9;143
3;9;18
9;9;211
6;10;127
4;10;191
10;10;176
8;10;292
3;10;19
9;10;384
5;10;164
11;10;232
2;10;19
7;10;228
7;11;276
10;11;224
3;11;19
9;11;368
2;11;18
5;11;86
8;11;340
6;11;236
4;11;51
11;11;217
6;12;160
4;12;224
10;12;83
8;12;200
2;12;19
3;12;19
9;12;162
7;12;135
5;12;75
11;12;1017
7;13;59
5;13;119
3;13;19
9;13;276
10;13;256
11;13;539
8;13;372
6;13;143
4;13;1188
2;13;1056
8;14;151
6;14;191
3;14;19
11;14;183
4;14;284
7;14;293
5;14;445
2;14;435
10;14;1287
9;14;1428
7;15;200
2;15;18
6;15;204
5;15;475
4;15;357
10;15;148
3;15;19
11;15;107
8;15;263
9;15;585
8;16;183
6;16;253
2;16;19
5;16;102
4;16;127
10;16;316
7;16;119
3;16;19
9;16;244
11;16;88
7;17;152
10;17;304
9;17;289
2;17;19
6;17;284
3;17;19
8;17;167
11;17;135
5;17;260
4;17;79
8;18;324
11;18;167
3;18;19
7;18;260
