9;2331181056; 3603693569; 2405302273; 1920139310; 290455555;98;0;27488;3
3;3974037504; 1729822720; 2403729408; 1884815407; 290455554;98;0;49122;0
2;4176674816; 1936195584; 2042494976; 2232156207; 290455554;98;0;55134;0
5;2089549824; 2390425601; 1702166530; 2581004333; 290455556;98;0;49480;4
10;1832452096; 2561212417; 3993436161; 287572014; 290455555;98;0;63382;2
8;2249654272; 3765829633; 2061565953; 2219180078; 290455555;98;0;32144;3
6;432340992; 4058578947; 245563396; 4034396201; 290455560;96;0;13078;9
11;2260140032; 1098121217; 3760128002; 520749101; 290455556;98;0;12714;4
7;4051369984; 2373648384; 47972353; 4233822255; 290455554;98;0;58140;2
4;1433993216; 1683030019; 1568210949; 2712600616; 290455561;98;0;1888;10
