5;916848640; 2753822723; 1258225669; 3024486440; 290455561;198;0;32260;10
4;830734336; 1110507524; 2407792646; 1998979110; 2983723019;196;0;42106;11
10;2569338880; 2400321539; 1561329669; 2717843496; 290455561;194;0;22382;10
6;603979776; 538836996; 3514761222; 782630950; 290455563;196;0;26234;11
3;1817378816; 2500591617; 3145334784; 1137442862; 290455555;198;0;5663;1
7;1398013952; 157876226; 3638689796; 644087850; 290455559;198;0;33272;7
11;3075932160; 3212181507; 355991557; 3923181608; 290455561;192;0;45434;10
9;2750676992; 3017277443; 600047621; 3680108584; 290455561;198;0;39798;10
8;3148414976; 2828206083; 994312197; 3286958120; 290455561;198;0;34563;10
2;1770389504; 2581397505; 2755592192; 1515782190; 290455555;198;0;7674;1
