7;2447179776; 1877999634; 2588016640; 1733952331; 6;110;0
10;2251816960; 2008612885; 2669477888; 1651704651; 6;112;0
12;4170579968; 1451819024; 157614083; 4163633988; 13;112;0
32;2781544448; 2510749711; 270598144; 4050387788; 5;112;0
14;2098266112; 1788477461; 835059712; 3486122827; 6;112;0
37;3289907200; 1992425490; 4024434688; 296551243; 6;112;0
20;2662006784; 2224947215; 2287992832; 2034434891; 6;112;0
4;296222720; 2027683857; 3971088387; 350683970; 15;110;0
39;2234122240; 2036924434; 4147314688; 173671243; 6;112;0
34;3865837568; 1778122772; 2761293824; 1559692107; 6;112;0
8;2484404224; 2372665359; 4090429440; 231277387; 6;110;0
47;2357985280; 2460614674; 1424818176; 2896233289; 8;112;0
5;1852375040; 1860435989; 2134966272; 2186740554; 7;112;0
49;1758134272; 1891762197; 3583967232; 737084234; 7;110;0
36;2177630208; 2198405135; 2371682304; 1949303627; 6;112;0
15;1853751296; 2078277650; 4069326848; 251855691; 6;112;0
23;2325544960; 2327838738; 2196963328; 2124088135; 10;112;0
11;1884422144; 1958477842; 3504930816; 816251723; 6;112;0
45;1638727680; 1968832533; 2498625536; 1822425931; 6;110;0
30;2592014336; 1938620434; 3850305536; 470745931; 6;110;0
41;1374158848; 1710817301; 2757623808; 1563362123; 6;112;0
33;1233584128; 1825767445; 2880110592; 1440940875; 6;110;0
22;2307129344; 2040397842; 3768582144; 552469323; 6;110;0
16;1710358528; 2143420431; 1188036608; 3134194507; 6;110;0
38;141819904; 2032730130; 3817144320; 503907146; 7;112;0
27;1239744512; 1976893458; 3956408320; 364577611; 6;112;0
42;2240282624; 1980235794; 3774480384; 546505547; 6;112;0
28;1690238976; 2589589519; 2650931200; 1670120266; 7;112;0
9;1023541248; 1779957781; 834011136; 3487761226; 7;110;0
40;1100611584; 2770141199; 273088512; 4047897420; 5;112;0
19;1134821376; 1945436178; 935133184; 3385983818; 7;110;0
43;949223424; 2004811794; 3973054464; 347931467; 6;112;0
3;1613824000; 1976369170; 3652780032; 668861259; 6;112;0
26;1923350528; 2085683218; 4202561536; 118424395; 6;112;0
18;1677197312; 1701576721; 1121124352; 3199927114; 7;112;0
25;816906240; 1922957333; 851836928; 3469149003; 6;112;0
13;850001920; 2239430671; 3851354112; 469893963; 6;110;0
29;3767402496; 2492334094; 4015783936; 305201995; 6;112;0
44;724434944; 1950285842; 3081764864; 1239221067; 6;112;0
24;645791744; 1820655634; 4042129408; 280101707; 6;110;0
48;661323776; 2066022418; 2772500480; 1548550986; 7;110;0
35;1181745152; 1947271185; 2445279232; 1875706699; 6;112;0
21;2918121472; 2033778702; 1230962688; 3090285387; 6;110;0
2;1572601856; 2066087954; 4003397632; 318243659; 6;112;0
6;1617756160; 2596208658; 709820416; 3611820874; 7;112;0
46;3680632832; 2002583569; 2350448640; 1970537291; 6;112;0
17;2697723904; 1534001168; 1571815427; 2749236032; 17;112;0
31;1102381056; 2202664978; 1783693312; 2537358155; 6;110;0
