5;3849977856; 1236795439; 2572025856; 1751122762; 7;110;0
8;3784245248; 1265041452; 3642359808; 679281482; 7;112;0
11;2535653376; 1190068280; 1023934464; 3297313610; 7;110;0
4;3980984320; 2094858281; 692977664; 3628663626; 7;112;0
6;3764125696; 2119237673; 809697280; 3512009546; 7;110;0
10;739835904; 1192165444; 3034447872; 1286734665; 8;112;0
2;1392640000; 3258646552; 3388145664; 933495626; 7;112;0
3;1562705920; 3264741397; 3896049664; 425657162; 7;110;0
7;4085383168; 1353973786; 2525954048; 1795687243; 6;112;0
9;2231566336; 1246560300; 3576102912; 745538378; 7;112;0
