4;1;337;2
8;1;520;3
7;1;372;2
5;1;437;2
2;1;37;1
9;1;673;3
3;1;138;1
5;2;307;2
2;2;183;1
9;2;543;3
4;2;318;2
7;2;490;2
3;2;187;1
8;2;811;3
9;3;527;3
8;3;700;3
3;3;231;1
5;3;422;2
4;3;431;2
2;3;85;1
7;3;323;2
9;4;649;3
4;4;319;2
5;4;396;2
7;4;275;2
8;4;691;3
3;4;303;1
2;4;30;1
9;5;505;3
4;5;485;2
3;5;17;1
7;5;349;2
2;5;44;1
8;5;644;3
5;5;410;2
4;6;343;2
9;6;581;3
7;6;266;2
5;6;494;2
3;6;76;1
2;6;116;1
8;6;712;3
8;7;732;3
4;7;477;2
7;7;377;2
5;7;405;2
3;7;51;1
9;7;538;3
2;7;220;1
9;8;663;3
8;8;732;3
2;8;213;1
4;8;356;2
3;8;241;1
7;8;255;2
5;8;356;2
2;9;15;1
7;9;480;2
8;9;551;3
4;9;379;2
5;9;320;2
3;9;199;1
9;9;622;3
8;10;507;3
5;10;450;2
7;10;408;2
4;10;436;2
2;10;138;1
3;10;185;1
9;10;589;3
5;11;277;2
2;11;180;1
4;11;256;2
7;11;438;2
3;11;201;1
8;11;566;3
9;11;816;3
8;12;672;3
7;12;258;2
2;12;187;1
5;12;447;2
4;12;411;2
3;12;56;1
9;12;671;3
3;13;111;1
4;13;478;2
8;13;610;3
5;13;420;2
7;13;356;2
2;13;225;1
9;13;723;3
9;14;624;3
5;14;344;2
8;14;587;3
3;14;187;1
7;14;349;2
2;14;158;1
4;14;295;2
